date,name
1/1/2009,New Year's Day
19/1/2009,"Martin Luther King, Jr. Day"
16/2/2009,Presidents Day
10/4/2009,Good Friday
25/5/2009,Memorial Day
3/7/2009,Independence Day
7/9/2009,Labor Day
12/10/2009,Columbus Day
12/10/2009,Indigenous Peoples' Day
11/11/2009,Veterans Day
26/11/2009,Thanksgiving Day
25/12/2009,Christmas Day
1/1/2009,New Year's Day
19/1/2009,"Martin Luther King, Jr. Day"
16/2/2009,Presidents Day
10/4/2009,Good Friday
25/5/2009,Memorial Day
3/7/2009,Independence Day
7/9/2009,Labor Day
12/10/2009,Columbus Day
12/10/2009,Indigenous Peoples' Day
11/11/2009,Veterans Day
26/11/2009,Thanksgiving Day
25/12/2009,Christmas Day
1/1/2010,New Year's Day
18/1/2010,"Martin Luther King, Jr. Day"
15/2/2010,Presidents Day
2/4/2010,Good Friday
31/5/2010,Memorial Day
5/7/2010,Independence Day
6/9/2010,Labor Day
11/10/2010,Columbus Day
11/10/2010,Indigenous Peoples' Day
11/11/2010,Veterans Day
25/11/2010,Thanksgiving Day
24/12/2010,Christmas Day
2/1/2012,New Year's Day
16/1/2012,"Martin Luther King, Jr. Day"
20/2/2012,Presidents Day
6/4/2012,Good Friday
28/5/2012,Memorial Day
4/7/2012,Independence Day
3/9/2012,Labor Day
8/10/2012,Columbus Day
8/10/2012,Indigenous Peoples' Day
12/11/2012,Veterans Day
22/11/2012,Thanksgiving Day
25/12/2012,Christmas Day
1/1/2015,New Year's Day
19/1/2015,"Martin Luther King, Jr. Day"
16/2/2015,Presidents Day
3/4/2015,Good Friday
25/5/2015,Memorial Day
3/7/2015,Independence Day
7/9/2015,Labor Day
12/10/2015,Columbus Day
12/10/2015,Indigenous Peoples' Day
11/11/2015,Veterans Day
26/11/2015,Thanksgiving Day
25/12/2015,Christmas Day
1/1/2016,New Year's Day
18/1/2016,"Martin Luther King, Jr. Day"
15/2/2016,Washington's Birthday
25/3/2016,Good Friday
25/3/2016,Good Friday
30/5/2016,Memorial Day
4/7/2016,Independence Day
5/9/2016,Labour Day
10/10/2016,Columbus Day
10/10/2016,Indigenous Peoples' Day
11/11/2016,Veterans Day
24/11/2016,Thanksgiving Day
26/12/2016,Christmas Day
2/1/2017,New Year's Day
16/1/2017,"Martin Luther King, Jr. Day"
20/2/2017,Washington's Birthday
14/4/2017,Good Friday
29/5/2017,Memorial Day
4/7/2017,Independence Day
4/9/2017,Labour Day
9/10/2017,Columbus Day
1/1/2018,New Year's Day
15/1/2018,"Martin Luther King, Jr. Day"
19/2/2018,Presidents Day
30/3/2018,Good Friday
30/3/2018,Good Friday
28/5/2018,Memorial Day
4/7/2018,Independence Day
3/9/2018,Labor Day
8/10/2018,Columbus Day
8/10/2018,Indigenous Peoples' Day
12/11/2018,Veterans Day
22/11/2018,Thanksgiving Day
25/12/2018,Christmas Day
1/1/2019,New Year's Day
21/1/2019,"Martin Luther King, Jr. Day"
18/2/2019,Presidents Day
19/4/2019,Good Friday
27/5/2019,Memorial Day
4/7/2019,Independence Day
2/9/2019,Labor Day
14/10/2019,Columbus Day
14/10/2019,Indigenous Peoples' Day
11/11/2019,Veterans Day
28/11/2019,Thanksgiving Day
25/12/2019,Christmas Day
1/1/2024,New Year's Day
15/1/2024,"Martin Luther King, Jr. Day"
19/2/2024,Presidents Day
29/3/2024,Good Friday
27/5/2024,Memorial Day
19/6/2024,Juneteenth National Independence Day
4/7/2024,Independence Day
2/9/2024,Labor Day
14/10/2024,Columbus Day
14/10/2024,Indigenous Peoples' Day
11/11/2024,Veterans Day
28/11/2024,Thanksgiving Day
25/12/2024,Christmas Day
1/1/2030,New Year's Day
21/1/2030,"Martin Luther King, Jr. Day"
18/2/2030,Presidents Day
19/4/2030,Good Friday
27/5/2030,Memorial Day
19/6/2030,Juneteenth National Independence Day
4/7/2030,Independence Day
2/9/2030,Labor Day
14/10/2030,Columbus Day
14/10/2030,Indigenous Peoples' Day
11/11/2030,Veterans Day
28/11/2030,Thanksgiving Day
25/12/2030,Christmas Day
1/1/2037,New Year's Day
19/1/2037,"Martin Luther King, Jr. Day"
16/2/2037,Presidents Day
3/4/2037,Good Friday
25/5/2037,Memorial Day
19/6/2037,Juneteenth National Independence Day
3/7/2037,Independence Day
7/9/2037,Labor Day
12/10/2037,Columbus Day
12/10/2037,Indigenous Peoples' Day
11/11/2037,Veterans Day
26/11/2037,Thanksgiving Day
25/12/2037,Christmas Day
2/1/2045,New Year's Day
16/1/2045,"Martin Luther King, Jr. Day"
20/2/2045,Presidents Day
7/4/2045,Good Friday
29/5/2045,Memorial Day
19/6/2045,Juneteenth National Independence Day
4/7/2045,Independence Day
4/9/2045,Labor Day
9/10/2045,Columbus Day
9/10/2045,Indigenous Peoples' Day
10/11/2045,Veterans Day
23/11/2045,Thanksgiving Day
25/12/2045,Christmas Day
1/1/2054,New Year's Day
19/1/2054,"Martin Luther King, Jr. Day"
16/2/2054,Presidents Day
27/3/2054,Good Friday
25/5/2054,Memorial Day
19/6/2054,Juneteenth National Independence Day
3/7/2054,Independence Day
7/9/2054,Labor Day
12/10/2054,Columbus Day
12/10/2054,Indigenous Peoples' Day
11/11/2054,Veterans Day
26/11/2054,Thanksgiving Day
25/12/2054,Christmas Day
1/1/2064,New Year's Day
21/1/2064,"Martin Luther King, Jr. Day"
18/2/2064,Presidents Day
4/4/2064,Good Friday
26/5/2064,Memorial Day
19/6/2064,Juneteenth National Independence Day
4/7/2064,Independence Day
1/9/2064,Labor Day
13/10/2064,Columbus Day
13/10/2064,Indigenous Peoples' Day
11/11/2064,Veterans Day
27/11/2064,Thanksgiving Day
25/12/2064,Christmas Day
